                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77778,                 3.5649,                 1.1872,                0.74164,                0.79121,                0.81771,                0.75724,                0.36634,                 10.592,                0.80026,              0.0033138,              0.0033138,              0.0033138
                      2,                0.77539,                 2.2421,                 1.1399,                0.90826,                0.71429,                0.86028,                0.70782,                0.53672,                 4.0745,                0.90675,              0.0066459,              0.0066459,              0.0066459
                      3,                0.86407,                 1.8617,                 1.1999,                0.82213,                0.86813,                0.84336,                0.67719,                  0.613,                 3.0742,                0.94387,              0.0099766,              0.0099766,              0.0099766
                      4,                0.93982,                 1.3274,                 1.2351,                  0.784,                0.83762,                0.84809,                0.68366,                0.64788,                 4.2018,                0.98393,              0.0099941,              0.0099941,              0.0099941
                      5,                0.91223,                 1.0421,                 1.2045,                0.73646,                0.64835,                0.69279,                  0.454,                 1.0233,                 1.3254,                 1.3768,              0.0099941,              0.0099941,              0.0099941
                      6,                0.91457,                0.95026,                  1.206,                0.89148,                0.85714,                0.87889,                0.73372,                0.57763,                0.80312,                0.90454,              0.0099921,              0.0099921,              0.0099921
                      7,                0.89727,                0.86979,                 1.2076,                0.91214,                0.91266,                0.93124,                0.80668,                0.54608,                 3.2757,                0.90483,              0.0099901,              0.0099901,              0.0099901
                      8,                0.88213,                0.81009,                 1.1798,                0.94525,                0.87912,                0.91545,                0.80677,                0.50576,                 0.9361,                0.83988,              0.0099881,              0.0099881,              0.0099881
                      9,                 0.8278,                 0.7477,                 1.1589,                 0.9113,                0.92308,                 0.9303,                0.83649,                0.43056,                0.46017,                0.82011,              0.0099861,              0.0099861,              0.0099861
                     10,                0.83464,                0.73923,                 1.1618,                0.89042,                  0.893,                0.91556,                 0.7888,                0.47784,                0.74983,                0.84777,              0.0099842,              0.0099842,              0.0099842
                     11,                0.83261,                0.76082,                 1.1611,                0.98791,                0.89797,                0.94373,                0.83767,                0.44618,                0.47137,                0.82039,              0.0099822,              0.0099822,              0.0099822
                     12,                0.79881,                0.72468,                 1.1375,                0.89882,                0.92308,                0.93189,                0.83774,                0.43111,                0.81572,                0.80855,              0.0099802,              0.0099802,              0.0099802
                     13,                0.78682,                0.67131,                 1.1212,                0.97023,                 0.9011,                0.93088,                0.85128,                0.42835,                0.40613,                0.82476,              0.0099782,              0.0099782,              0.0099782
                     14,                 0.7514,                0.62501,                  1.111,                0.98605,                0.92308,                 0.9584,                0.85289,                0.42446,                 0.3409,                0.81552,              0.0099762,              0.0099762,              0.0099762
                     15,                0.77055,                0.63549,                 1.1121,                0.98812,                0.91409,                 0.9502,                0.84396,                0.42904,                0.37248,                 0.8071,              0.0099743,              0.0099743,              0.0099743
                     16,                 0.7618,                0.59733,                 1.1174,                0.98834,                0.93132,                0.93846,                0.85914,                0.40811,                0.48343,                0.79107,              0.0099723,              0.0099723,              0.0099723
                     17,                0.72578,                0.59522,                 1.0901,                0.97596,                0.89217,                0.93983,                0.86422,                0.37638,                0.40059,                0.78887,              0.0099703,              0.0099703,              0.0099703
                     18,                0.70418,                 0.5617,                 1.0797,                0.98821,                0.92148,                0.95071,                0.89192,                 0.3388,                 0.3857,                0.76448,              0.0099683,              0.0099683,              0.0099683
                     19,                0.75747,                0.62027,                 1.1183,                0.98722,                0.92308,                0.96436,                0.89623,                0.33425,                0.30223,                0.75296,              0.0099663,              0.0099663,              0.0099663
                     20,                0.70203,                0.55822,                 1.0872,                0.98682,                0.92308,                0.95115,                0.88687,                0.33641,                 0.2897,                0.75776,              0.0099644,              0.0099644,              0.0099644
                     21,                0.68792,                0.54175,                 1.0762,                0.98755,                0.93407,                0.96982,                0.87387,                0.38318,                0.33485,                0.78166,              0.0099624,              0.0099624,              0.0099624
                     22,                  0.715,                0.57617,                  1.086,                0.97647,                0.91197,                0.93143,                0.85201,                0.37716,                0.42554,                0.77597,              0.0099604,              0.0099604,              0.0099604
                     23,                0.69076,                0.55653,                 1.0737,                0.98834,                0.93122,                0.96442,                0.88846,                0.36179,                0.41176,                0.76984,              0.0099584,              0.0099584,              0.0099584
                     24,                0.66337,                0.53269,                 1.0753,                0.97461,                0.92308,                0.95712,                 0.8919,                0.32201,                0.28581,                0.75973,              0.0099564,              0.0099564,              0.0099564
                     25,                0.67806,                0.51626,                 1.0747,                0.96335,                0.92308,                0.95028,                0.87892,                0.36736,                0.30918,                0.77253,              0.0099545,              0.0099545,              0.0099545
                     26,                0.69254,                0.53921,                 1.0888,                0.98823,                0.92274,                0.96347,                0.88906,                0.33872,                0.27847,                0.75387,              0.0099525,              0.0099525,              0.0099525
                     27,                0.68534,                0.54297,                 1.0755,                0.95505,                0.93389,                0.94858,                0.89524,                 0.3393,                0.35011,                0.75706,              0.0099505,              0.0099505,              0.0099505
                     28,                 0.6803,                0.53758,                  1.082,                0.98434,                0.92308,                0.95466,                0.90409,                0.32174,                0.30826,                  0.744,              0.0099485,              0.0099485,              0.0099485
                     29,                0.64691,                0.50399,                 1.0491,                0.98794,                 0.9004,                0.95383,                0.88209,                0.34546,                0.28524,                0.75099,              0.0099465,              0.0099465,              0.0099465
                     30,                0.65987,                0.52458,                  1.065,                0.93471,                0.94392,                0.95842,                0.88889,                0.35108,                0.29415,                  0.756,              0.0099446,              0.0099446,              0.0099446
                     31,                0.68242,                0.51989,                 1.0645,                0.95427,                0.91719,                0.95181,                0.89686,                0.34674,                0.53331,                0.75637,              0.0099426,              0.0099426,              0.0099426
                     32,                0.64234,                0.49707,                 1.0548,                0.96477,                0.86813,                0.93357,                0.85881,                0.37999,                0.61165,                0.80516,              0.0099406,              0.0099406,              0.0099406
                     33,                0.66135,                0.50432,                 1.0653,                0.98836,                0.93336,                0.96197,                0.90381,                0.30284,                0.26641,                0.76038,              0.0099386,              0.0099386,              0.0099386
                     34,                0.65732,                0.51703,                 1.0594,                0.99785,                0.92308,                0.96237,                0.91229,                0.30671,                 0.3238,                0.74696,              0.0099366,              0.0099366,              0.0099366
                     35,                0.60655,                0.47769,                 1.0379,                0.98637,                0.93407,                0.95511,                0.91283,                 0.2877,                0.23256,                0.73417,              0.0099347,              0.0099347,              0.0099347
