                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1011,                 2.8396,                 1.0653,                0.70435,                0.67102,                0.69165,                0.60349,                0.56593,                 1.1165,                0.92583,              0.0033213,              0.0033213,              0.0033213
                      2,                 1.0532,                 1.1016,                 1.0641,                0.93189,                0.85288,                0.91171,                0.78276,                0.56205,                0.65935,                 0.8949,              0.0066533,              0.0066533,              0.0066533
                      3,                0.99882,                0.89656,                 1.0353,                 0.9375,                0.86458,                0.91551,                0.78264,                0.57699,                0.63456,                0.90348,               0.009984,               0.009984,               0.009984
                      4,                0.97558,                0.82567,                  1.035,                0.92391,                0.88064,                0.92623,                 0.8002,                0.54334,                0.58903,                0.89146,              0.0099941,              0.0099941,              0.0099941
                      5,                0.93537,                0.76041,                 1.0237,                0.94169,                0.88733,                0.93501,                0.81775,                0.51828,                  0.528,                0.88347,              0.0099941,              0.0099941,              0.0099941
                      6,                0.90413,                0.71275,                  1.011,                0.94383,                  0.904,                0.94051,                0.81296,                0.53629,                0.50996,                0.88672,              0.0099921,              0.0099921,              0.0099921
                      7,                0.89039,                0.67879,                 1.0032,                0.94289,                0.90338,                0.93781,                0.82299,                0.51157,                0.49802,                0.87859,              0.0099901,              0.0099901,              0.0099901
                      8,                0.86276,                0.65552,                0.99497,                0.94567,                0.89892,                0.94035,                0.81484,                0.54138,                0.48407,                0.88691,              0.0099881,              0.0099881,              0.0099881
                      9,                0.84258,                0.63222,                0.98829,                0.95372,                0.91336,                0.94389,                0.84242,                0.48694,                0.44668,                0.87438,              0.0099861,              0.0099861,              0.0099861
                     10,                0.83426,                0.61863,                0.98108,                0.94476,                 0.9142,                0.94826,                0.84693,                0.47696,                0.43596,                0.87293,              0.0099842,              0.0099842,              0.0099842
                     11,                0.80532,                 0.5948,                0.96983,                0.95109,                0.90658,                0.94851,                 0.8497,                0.44931,                0.41841,                0.85816,              0.0099822,              0.0099822,              0.0099822
                     12,                0.79045,                0.57803,                0.96565,                0.94295,                 0.9072,                0.94656,                0.85611,                0.43058,                0.41047,                0.85235,              0.0099802,              0.0099802,              0.0099802
                     13,                0.77147,                  0.568,                0.95943,                0.95811,                0.90708,                0.94666,                0.85342,                0.45021,                0.41418,                0.85814,              0.0099782,              0.0099782,              0.0099782
                     14,                 0.7539,                0.55446,                0.95267,                0.94315,                0.89445,                0.94237,                0.84973,                0.44315,                 0.4287,                0.85636,              0.0099762,              0.0099762,              0.0099762
